timestamp,UP
673382,39759
673882,39761
674382,39757
674882,39758
675382,39759
675883,39758
676382,39756
676882,39756
677382,39757
677882,39758
678382,39756
678882,39755
679382,39753
679882,39756
680382,39754
680882,39754
681382,39751
681882,39752
682382,39755
682882,39754
683382,39752
683882,39750
684382,39751
684882,39752
685382,39752
685882,39752
686382,39751
686882,39750
687382,39749
687882,39749
688382,39751
688882,39750
689382,39747
689882,39747
690382,39748
690882,39744
691382,39746
691883,39746
692382,39746
692882,39743
693382,39743
693882,39745
694382,39741
694882,39742
695382,39745
695882,39740
696382,39740
696882,39742
697382,39740
697882,39741
698382,39744
698882,39740
699382,39739
699882,39741
700382,39742
700882,39741
701382,39742
701882,39741
702382,39740
702882,39740
703382,39738
703882,39737
704382,39738
704882,39739
705382,39739
705882,39737
706382,39736
706882,39738
707382,39736
707883,39736
708382,39736
708882,39736
709382,39735
709882,39733
710382,39737
710882,39732
711382,39736
711882,39735
712382,39735
712882,39732
713382,39733
713882,39734
714382,39734
714882,39732
715382,39732
715882,39732
716382,39732
716882,39731
717382,39732
717882,39731
718382,39734
718882,39732
719382,39731
719882,39731
720382,39731
720882,39728
721382,39730
721882,39728
722382,39727
722882,39729
723382,39730
723883,39727
724382,39728
724882,39729
725382,39727
725882,39727
726382,39725
726882,39726
727382,39724
727882,39726
728382,39725
728882,39726
729382,39727
729882,39725
730382,39727
730882,39728
731382,39728
731882,39726
732382,39726
732882,39726
733382,39726
733882,39727
734382,39729
734882,39728
735382,39726
735882,39727
736382,39727
736882,39727
737382,39728
737882,39727
738382,39727
738882,39727
739382,39727
739883,39727
740382,39728
740882,39728
741382,39728
741882,39729
742382,39728
742882,39729
743382,39730
743882,39730
744382,39730
744882,39730
745382,39731
745882,39734
746382,39730
746882,39728
747382,39732
747882,39730
748382,39732
748882,39729
749382,39731
749882,39733
750382,39731
750882,39729
751382,39732
751882,39732
752382,39732
752882,39731
753382,39731
753882,39733
754382,39731
754882,39732
755382,39732
755883,39730
756382,39732
756882,39730
757382,39726
757882,39729
758382,39726
758882,39728
759382,39730
759882,39730
760382,39728
760882,39728
761382,39726
761882,39725
762382,39725
762882,39726
763382,39728
763882,39726
764382,39725
764882,39725
765382,39724
765882,39723
766382,39724
766882,39725
767382,39722
767882,39723
768382,39725
768882,39722
769382,39720
769882,39722
770382,39722
770882,39719
771382,39721
771883,39722
772382,39719
772882,39721
773382,39716
773882,39719
774382,39720
774882,39720
775382,39720
775882,39719
776382,39718
776882,39717
777382,39719
777882,39718
778382,39717
778882,39715
779382,39716
779882,39717
780382,39718
780882,39717
781382,39716
781882,39716
782382,39716
782882,39716
783382,39717
783882,39715
784382,39714
784882,39714
785382,39713
785882,39714
786382,39714
786882,39714
787382,39715
787883,39714
788382,39712
788882,39712
789382,39712
789882,39711
790382,39711
790882,39713
791382,39712
791882,39710
792382,39710
792882,39707
793382,39712
793882,39711
794382,39710
794882,39710
795382,39707
795882,39709
796382,39711
796882,39710
797382,39709
797882,39710
798382,39709
798882,39709
799382,39706
799882,39708
800382,39710
800882,39704
801382,39707
801882,39708
802382,39706
802882,39710
803382,39709
803883,39706
804382,39706
804882,39706
805382,39704
805882,39701
806382,39704
806882,39704
807382,39703
807882,39704
808382,39705
808882,39703
809382,39701
809882,39705
810382,39702
810882,39703
811382,39702
811882,39702
812382,39701
812882,39700
813382,39700
813882,39701
814382,39701
814882,39701
815382,39701
815882,39700
816382,39701
816882,39702
817382,39700
817882,39700
818382,39700
818882,39700
819382,39700
819883,39697
820382,39697
820882,39699
821382,39698
821882,39698
822382,39700
822882,39698
823382,39698
823882,39696
824382,39698
824882,39696
825382,39697
825882,39696
826382,39696
826882,39696
827382,39698
827882,39696
828382,39697
828882,39696
829382,39698
829882,39695
830382,39696
830882,39698
831382,39694
831882,39695
832382,39695
832882,39694
833382,39695
833882,39697
834382,39696
834882,39694
835382,39695
835883,39697
836382,39696
836882,39696
837382,39693
837882,39696
838382,39695
838882,39693
839382,39693
839882,39694
840382,39695
840882,39693
841382,39695
841882,39692
842382,39695
842882,39691
843382,39694
843882,39692
844382,39691
844882,39691
845382,39693
845882,39691
846382,39692
846882,39689
847382,39690
847882,39692
848382,39692
848882,39693
849382,39689
849882,39690
850382,39690
850882,39691
851382,39689
851883,39691
852382,39690
852882,39687
853382,39689
853882,39690
854382,39687
854882,39688
855382,39688
855882,39686
856382,39687
856882,39685
857382,39688
857882,39688
858382,39688
858882,39686
859382,39686
859882,39687
860382,39688
860882,39685
861382,39686
861882,39686
862382,39684
862882,39686
863382,39686
863882,39683
864382,39684
864882,39687
865382,39683
865882,39683
866382,39682
866882,39683
867382,39684
867883,39685
868382,39683
868882,39681
869382,39683
869882,39684
870382,39683
870882,39686
871382,39682
871882,39681
872382,39681
872882,39684
873382,39683
873882,39680
874382,39682
874882,39681
875382,39682
875882,39682
876382,39682
876882,39683
877382,39682
877882,39683
878382,39682
878882,39681
879382,39681
879882,39682
880382,39682
880882,39680
881382,39681
881882,39681
882382,39680
882882,39677
883382,39680
883883,39680
884382,39678
884882,39676
885382,39681
885882,39678
886382,39677
886882,39680
887382,39677
887882,39682
888382,39681
888882,39680
889382,39680
889882,39677
890382,39679
890882,39680
891382,39676
891882,39678
892382,39678
892882,39679
893382,39676
893882,39678
894382,39676
894882,39676
895382,39675
895882,39676
896382,39676
896882,39679
897382,39676
897882,39677
898382,39674
898882,39676
899382,39677
899883,39676
900382,39673
900882,39678
901382,39673
901882,39675
902382,39673
902882,39674
903382,39673
903882,39674
904382,39672
904882,39675
905382,39674
905882,39672
906382,39674
906882,39671
907382,39671
907882,39672
908382,39674
908882,39670
909382,39672
909882,39670
910382,39670
910882,39673
911382,39671
911882,39671
912382,39671
912882,39672
913382,39669
913882,39670
914382,39670
914882,39671
915382,39670
915883,39669
916382,39668
916882,39670
917382,39667
917882,39668
918382,39670
918882,39667
919382,39669
919882,39668
920382,39671
920882,39670
921382,39670
921882,39666
922382,39665
922882,39669
923382,39666
923882,39666
924382,39670
924882,39666
925382,39668
925882,39667
926382,39667
926882,39666
927382,39666
927882,39668
928382,39668
928882,39667
929382,39665
929882,39664
930382,39666
930882,39667
931382,39665
931883,39666
932382,39665
932882,39666
933382,39665
933882,39666
934382,39664
934882,39665
935382,39666
935882,39665
936382,39664
936882,39664
937382,39667
937882,39664
938382,39665
938882,39662
939382,39663
939882,39663
940382,39663
940882,39662
941382,39662
941882,39660
942382,39663
942882,39661
943382,39663
943882,39664
944382,39663
944882,39663
945382,39664
945882,39659
946382,39659
946882,39661
947382,39662
947883,39661
948382,39660
948882,39660
949382,39661
949882,39659
950382,39659
950882,39659
951382,39658
951882,39660
952382,39660
952882,39660
953382,39660
953882,39660
954382,39657
954882,39660
955382,39657
955882,39659
956382,39658
956882,39657
957382,39657
957882,39658
958382,39658
958882,39658
959382,39655
959882,39657
960382,39655
960882,39656
961382,39656
961882,39654
962382,39655
962882,39657
963382,39656
963883,39655
964382,39656
964882,39655
965382,39656
965882,39653
966382,39654
966882,39654
967382,39656
967882,39655
968382,39655
968882,39657
969382,39656
969882,39653
970382,39655
970882,39654
971382,39655
971882,39654
972382,39654
972882,39656
973382,39656
973882,39658
974382,39655
974882,39653
975382,39656
975882,39654
976382,39655
976882,39654
977382,39654
977882,39655
978382,39654
978882,39656
979382,39652
979883,39654
980382,39652
980882,39650
981382,39652
981882,39652
982382,39650
982882,39652
983382,39652
983882,39653
984382,39654
984882,39652
985382,39652
985882,39651
986382,39650
986882,39649
987382,39652
987882,39653
988382,39652
988882,39650
989382,39651
989882,39652
990382,39651
990882,39649
991382,39650
991882,39649
992382,39649
992882,39649
993382,39651
993882,39650
994382,39650
994882,39650
995382,39647
995883,39647
996382,39648
996882,39647
997382,39644
997882,39648
998382,39647
998882,39649
999382,39648
999882,39648
1000382,39646
1000882,39649
1001382,39646
1001882,39646
1002382,39648
1002882,39645
1003382,39648
1003882,39646
1004382,39645
1004882,39645
1005382,39645
1005882,39646
1006382,39645
1006882,39648
1007382,39646
1007882,39644
1008382,39647
1008882,39644
1009382,39645
1009882,39646
1010382,39644
1010882,39645
1011382,39646
1011883,39644
1012382,39646
1012882,39645
1013382,39644
1013882,39644
1014382,39645
1014882,39644
1015382,39643
1015882,39645
1016382,39643
1016882,39644
1017382,39644
1017882,39642
1018382,39642
1018882,39643
