timestamp,UP,Pressure (Pa)
259382,39841,120459
259883,39843,120465
260382,39842,120462
260882,39842,120462
261382,39840,120457
261882,39839,120454
262382,39840,120457
262882,39840,120457
263382,39839,120454
263882,39840,120457
264382,39839,120454
264882,39841,120459
265382,39839,120454
265882,39840,120457
266382,39838,120451
266882,39838,120451
267382,39839,120454
267882,39838,120451
268382,39837,120447
268882,39837,120447
269382,39838,120451
269882,39836,120444
270382,39835,120441
270882,39839,120454
271382,39834,120438
271882,39838,120451
272382,39836,120444
272882,39834,120438
273382,39835,120441
273882,39835,120441
274382,39834,120438
274882,39835,120441
275382,39834,120438
275883,39835,120441
276382,39834,120438
276882,39837,120447
277382,39836,120444
277882,39836,120444
278382,39835,120441
278882,39831,120429
279382,39835,120441
279882,39834,120438
280382,39833,120435
280882,39834,120438
281382,39831,120429
281882,39835,120441
282382,39833,120435
282882,39832,120432
283382,39833,120435
283882,39834,120438
284382,39834,120438
284882,39831,120429
285382,39833,120435
285882,39834,120438
286382,39833,120435
286882,39833,120435
287382,39833,120435
287882,39832,120432
288382,39832,120432
288882,39833,120435
289382,39832,120432
289882,39832,120432
290382,39832,120432
290882,39833,120435
291382,39832,120432
291883,39831,120429
292382,39830,120426
292882,39830,120426
293382,39826,120414
293882,39828,120420
294382,39826,120414
294882,39829,120423
295382,39826,120414
295882,39826,120414
296382,39826,120414
296882,39826,120414
297382,39827,120417
297882,39826,120414
298382,39827,120417
298882,39826,120414
299382,39826,120414
299882,39827,120417
300382,39829,120423
300882,39827,120417
301382,39826,120414
301882,39826,120414
302382,39828,120420
302882,39826,120414
303382,39828,120420
303882,39827,120417
304382,39827,120417
304882,39826,120414
305382,39824,120408
305882,39826,120414
306382,39828,120420
306882,39830,120426
307382,39828,120420
307883,39825,120411
308382,39827,120417
308882,39828,120420
309382,39828,120420
309882,39828,120420
310382,39827,120417
310882,39825,120411
311382,39826,120414
311882,39826,120414
312382,39826,120414
312882,39824,120408
313382,39824,120408
313882,39826,120414
314382,39827,120417
314882,39824,120408
315382,39824,120408
315882,39823,120405
316382,39826,120414
316882,39825,120411
317382,39823,120405
317882,39824,120408
318382,39824,120408
318882,39824,120408
319382,39822,120402
319882,39819,120392
320382,39821,120399
320882,39822,120402
321382,39817,120386
321882,39821,120399
322382,39819,120392
322882,39820,120396
323382,39818,120389
323883,39819,120392
324382,39820,120396
324882,39818,120389
325382,39820,120396
325882,39819,120392
326382,39816,120383
326882,39815,120380
327382,39816,120383
327882,39816,120383
328382,39814,120377
328882,39815,120380
329382,39814,120377
329882,39815,120380
330382,39814,120377
330882,39811,120368
331382,39816,120383
331882,39814,120377
332382,39812,120371
332882,39813,120374
333382,39812,120371
333882,39814,120377
334382,39812,120371
334882,39810,120365
335382,39810,120365
335882,39810,120365
336382,39811,120368
336882,39812,120371
337382,39811,120368
337882,39810,120365
338382,39808,120359
338882,39808,120359
339382,39811,120368
339883,39810,120365
340382,39808,120359
340882,39810,120365
341382,39809,120362
341882,39808,120359
342382,39808,120359
342882,39806,120353
343382,39809,120362
343882,39806,120353
344382,39805,120348
344882,39806,120353
345382,39806,120353
345882,39806,120353
346382,39806,120353
346882,39807,120356
347382,39808,120359
347882,39809,120362
348382,39806,120353
348882,39804,120345
349382,39802,120339
349882,39804,120345
350382,39805,120348
350882,39804,120345
351382,39803,120342
351882,39806,120353
352382,39804,120345
352882,39805,120348
353382,39805,120348
353882,39805,120348
354382,39806,120353
354882,39806,120353
355382,39811,120368
355883,39808,120359
356382,39807,120356
356882,39808,120359
357382,39808,120359
357882,39808,120359
358382,39811,120368
358882,39809,120362
359382,39810,120365
359882,39812,120371
360382,39808,120359
360882,39811,120368
361382,39810,120365
361882,39814,120377
362382,39813,120374
362882,39816,120383
363382,39815,120380
363882,39813,120374
364382,39815,120380
364882,39814,120377
365382,39817,120386
365882,39818,120389
366382,39816,120383
366882,39817,120386
367382,39817,120386
367882,39818,120389
368382,39821,120399
368882,39820,120396
369382,39822,120402
369882,39823,120405
370382,39826,120414
370882,39828,120420
371382,39830,120426
371883,39832,120432
372382,39832,120432
372882,39833,120435
373382,39834,120438
373882,39832,120432
374382,39839,120454
374882,39836,120444
375382,39837,120447
375882,39838,120451
376382,39838,120451
376882,39836,120444
377382,39840,120457
377882,39838,120451
378382,39837,120447
378882,39840,120457
379382,39841,120459
379882,39843,120465
380382,39841,120459
380882,39839,120454
381382,39841,120459
381882,39841,120459
382382,39838,120451
382882,39838,120451
383382,39837,120447
383882,39836,120444
384382,39841,120459
384882,39842,120462
385382,39842,120462
385882,39841,120459
386382,39842,120462
386882,39839,120454
387382,39840,120457
387883,39841,120459
388382,39842,120462
388882,39840,120457
389382,39837,120447
389882,39839,120454
390382,39842,120462
390882,39840,120457
391382,39843,120465
391882,39840,120457
392382,39840,120457
392882,39839,120454
393382,39842,120462
393882,39842,120462
394382,39841,120459
394882,39842,120462
395382,39844,120468
395882,39848,120480
396382,39846,120474
396882,39846,120474
397382,39847,120477
397882,39846,120474
398382,39845,120471
398882,39846,120474
399382,39845,120471
399882,39845,120471
400382,39845,120471
400882,39846,120474
401382,39846,120474
401882,39846,120474
402382,39844,120468
402882,39843,120465
403382,39844,120468
403883,39845,120471
404382,39844,120468
404882,39841,120459
405382,39843,120465
405882,39841,120459
406382,39846,120474
406882,39844,120468
407382,39842,120462
407882,39841,120459
408382,39839,120454
408882,39843,120465
409382,39842,120462
409882,39840,120457
410382,39840,120457
410882,39838,120451
411382,39839,120454
411882,39839,120454
412382,39838,120451
412882,39837,120447
413382,39838,120451
413882,39836,120444
414382,39834,120438
414882,39834,120438
415382,39834,120438
415882,39830,120426
416382,39833,120435
416882,39832,120432
417382,39834,120438
417882,39833,120435
418382,39833,120435
418882,39831,120429
419382,39830,120426
419883,39831,120429
420382,39830,120426
420882,39830,120426
421382,39828,120420
421882,39828,120420
422382,39829,120423
422882,39828,120420
423382,39827,120417
423882,39826,120414
424382,39826,120414
424882,39824,120408
425382,39827,120417
425882,39828,120420
426382,39830,120426
426882,39830,120426
427382,39828,120420
427882,39829,120423
428382,39830,120426
428882,39830,120426
429382,39826,120414
429882,39827,120417
430382,39826,120414
430882,39827,120417
431382,39824,120408
431882,39826,120414
432382,39824,120408
432882,39827,120417
433382,39823,120405
433882,39824,120408
434382,39825,120411
434882,39824,120408
435382,39820,120396
435883,39821,120399
436382,39820,120396
436882,39824,120408
437382,39818,120389
437882,39818,120389
438382,39821,120399
438882,39821,120399
439382,39823,120405
439882,39823,120405
440382,39826,120414
440882,39832,120432
441382,39836,120444
441882,39837,120447
442382,39835,120441
442882,39837,120447
443382,39836,120444
443882,39838,120451
444382,39835,120441
444882,39834,120438
445382,39837,120447
445882,39836,120444
446382,39835,120441
446882,39836,120444
447382,39835,120441
447882,39834,120438
448382,39836,120444
448882,39834,120438
449382,39832,120432
449882,39831,120429
450382,39830,120426
450882,39830,120426
451382,39826,120414
451883,39830,120426
452382,39828,120420
452882,39830,120426
453382,39828,120420
453882,39828,120420
454382,39828,120420
454882,39825,120411
455382,39827,120417
455882,39824,120408
456382,39824,120408
456882,39828,120420
457382,39824,120408
457882,39821,120399
458382,39822,120402
458882,39821,120399
459382,39819,120392
459882,39821,120399
460382,39820,120396
460882,39824,120408
461382,39822,120402
461882,39824,120408
462382,39823,120405
462882,39826,120414
463382,39828,120420
463882,39825,120411
464382,39823,120405
464882,39824,120408
465382,39825,120411
465882,39824,120408
466382,39823,120405
466882,39824,120408
467382,39826,120414
467883,39824,120408
468382,39823,120405
468882,39826,120414
469382,39826,120414
469882,39826,120414
470382,39827,120417
470882,39828,120420
471382,39827,120417
471882,39829,120423
472382,39826,120414
472882,39830,120426
473382,39828,120420
473882,39828,120420
474382,39828,120420
474882,39831,120429
475382,39832,120432
475882,39831,120429
476382,39831,120429
476882,39831,120429
477382,39833,120435
477882,39832,120432
478382,39834,120438
478882,39832,120432
479382,39832,120432
479882,39835,120441
480382,39832,120432
480882,39834,120438
481382,39836,120444
481882,39832,120432
482382,39830,120426
482882,39830,120426
483382,39831,120429
483883,39828,120420
484382,39828,120420
484882,39831,120429
485382,39830,120426
485882,39827,120417
486382,39828,120420
486882,39828,120420
487382,39826,120414
487882,39826,120414
488382,39827,120417
488882,39824,120408
489382,39826,120414
489882,39824,120408
490382,39826,120414
490882,39824,120408
491382,39824,120408
491882,39824,120408
492382,39823,120405
492882,39824,120408
493382,39820,120396
493882,39822,120402
494382,39822,120402
494882,39822,120402
495382,39823,120405
495882,39820,120396
496382,39822,120402
496882,39820,120396
497382,39821,120399
497882,39820,120396
498382,39820,120396
498882,39820,120396
499382,39817,120386
499883,39820,120396
500382,39818,120389
500882,39819,120392
501382,39820,120396
501882,39818,120389
502382,39816,120383
502882,39820,120396
503382,39819,120392
503882,39816,120383
504382,39819,120392
504882,39820,120396
505382,39818,120389
505882,39818,120389
506382,39819,120392
506882,39818,120389
507382,39816,120383
507882,39816,120383
508382,39816,120383
508882,39813,120374
509382,39813,120374
509882,39813,120374
510382,39814,120377
510882,39815,120380
511382,39815,120380
511882,39812,120371
512382,39812,120371
512882,39812,120371
513382,39813,120374
513882,39811,120368
514382,39810,120365
514882,39811,120368
515382,39810,120365
515883,39808,120359
